home_elo,away_elo,elo_diff,elo_ratio,home_attack,away_attack,home_defense,away_defense,home_goal_diff,away_goal_diff,attack_diff,defense_diff,goal_diff_diff,home_recent_form,away_recent_form,home_win_rate,away_win_rate,form_diff,stage_encoded,result
1009.71225631668,1010.0,-0.2877436833199454,0.9997151052640396,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,3,1
1010.2792389658864,1010.0085066333768,0.27073233250962403,1.0002680495567429,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,3,1
1020.2714466645507,1019.7205382437343,0.5509084208164268,1.0005402543149373,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,4,1
1019.9997684879049,1019.4656356374455,0.5341328504594003,1.0005239341394037,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,4,1
1009.4810092045732,1009.7363946494124,-0.2553854448392485,0.9997470771122121,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,5,1
1030.2555902588724,1029.9843949207773,0.27119533809513996,1.000263300433902,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.0,6,1
999.9999931390729,1019.4883597872275,-19.488366648154624,0.9808841695336061,1.0,2.75,1.0,2.0,0.0,0.75,-1.75,1.0,-0.75,0.45454545454545453,0.7222222222222223,0.5,0.75,-0.2676767676767678,1,0
999.9917180729458,1000.0,-0.008281927054213156,0.9999917180729457,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.5,0.5,0.5,-0.04545454545454547,1,1
980.28774368332,970.5830556197035,9.704688063616459,1.0099988228801502,1.5,0.6666666666666666,1.5,3.0,0.0,-2.3333333333333335,0.8333333333333334,1.5,2.3333333333333335,0.16666666666666669,0.0,0.25,0.0,0.16666666666666669,1,1
1000.0,989.991956445968,10.008043554032042,1.01010921703845,1.0,1.3333333333333333,1.0,2.3333333333333335,0.0,-1.0000000000000002,-0.33333333333333326,1.3333333333333335,1.0000000000000002,0.5,0.26666666666666666,0.5,0.3333333333333333,0.23333333333333334,1,0
1040.2477846311729,1000.0,40.24778463117286,1.0402477846311728,2.4,1.0,0.6,1.0,1.7999999999999998,0.0,1.4,0.4,1.7999999999999998,0.925,0.5,0.8,0.5,0.42500000000000004,1,1
990.008043554032,1000.0,-9.991956445967958,0.990008043554032,2.0,1.0,1.6666666666666667,1.0,0.33333333333333326,0.0,1.0,-0.6666666666666667,0.33333333333333326,0.3333333333333333,0.5,0.3333333333333333,0.5,-0.16666666666666669,1,1
1019.9922005484768,990.0,29.99220054847683,1.0302951520691686,2.25,1.0,1.5,1.0,0.75,0.0,1.25,-0.5,0.75,0.6666666666666667,0.0,0.75,0.0,0.6666666666666667,1,1
999.7120249964228,990.2799314495452,9.432093546877582,1.0095246740313835,1.0,1.3333333333333333,1.0,2.3333333333333335,0.0,-1.0000000000000002,-0.33333333333333326,1.3333333333333335,1.0000000000000002,0.5,0.26666666666666666,0.5,0.3333333333333333,0.23333333333333334,1,1
1000.5603258827141,1018.9280270435863,-18.36770116087223,0.9819735048272585,1.0,2.75,1.0,2.0,0.0,0.75,-1.75,1.0,-0.75,0.45454545454545453,0.7222222222222223,0.5,0.75,-0.2676767676767678,1,1
1000.2955559167866,1029.1310935292845,-28.835537612497887,0.9719806953712672,2.0,2.25,1.6666666666666667,1.5,0.33333333333333326,0.75,-0.25,-0.16666666666666674,-0.41666666666666674,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.75,-0.3333333333333334,3,0
1009.991956445968,1011.0884988528575,-1.0965424068895118,0.9989154832557846,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.5,0.5,0.0,3,1
1000.7887885453767,1009.4406141947919,-8.651825649415173,0.9914290890144969,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.5,0.5,0.5,-0.04545454545454547,3,1
1049.0945144187483,990.0084929289537,59.086021489794575,1.0596823379918567,2.4,1.5,0.6,1.5,1.7999999999999998,0.0,0.8999999999999999,0.9,1.7999999999999998,0.925,0.16666666666666669,0.8,0.25,0.7583333333333333,3,1
1001.1236090046939,1028.3030404413773,-27.179431436683444,0.9735686559625291,2.0,2.25,1.6666666666666667,1.5,0.33333333333333326,0.75,-0.25,-0.16666666666666674,-0.41666666666666674,0.3333333333333333,0.6666666666666667,0.3333333333333333,0.75,-0.3333333333333334,3,1
1020.0235173686747,1011.037756644777,8.98576072389767,1.0088876608858979,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453,0.45454545454545453,0.5,0.5,0.0,4,1
